FirstName,LastName,Department,Title
Margaret,Holloway,Management,Managing Partner
David,Chen,Management,Office Manager
Priya,Patel,Accounting,Senior Accountant
James,Walker,Accounting,Accountant
Aisha,Rahman,Accounting,Accountant
Tom,Becker,Accounting,Tax Specialist
Lucia,Moreno,Accounting,Payroll Specialist
Kevin,Nguyen,Accounting,Junior Accountant
Rachel,Kim,Sales,Sales Manager
Marcus,Johnson,Sales,Account Executive
Emily,Carter,Sales,Account Executive
Diego,Santos,Sales,Sales Representative
Hannah,Lee,Sales,Sales Coordinator
Brian,Foster,Operations,Operations Lead
Grace,Okafor,Operations,Operations Coordinator
Nathan,Price,Operations,Facilities Coordinator
Olivia,Reyes,Operations,Receptionist
Sofia,Alvarez,HR,HR Manager
Ethan,Brooks,IT,IT Administrator
Maya,Singh,IT,IT Support Technician
